9	0	Everything we do to express ourselves uses muscles.	Everything we do to express ourselves uses muscles.
9	13	Fibers in a tendon may intertwine with those in the periosteum of a bone, attaching the muscle to the bone.	The fibers in the tendon can intersect with the fibers in the bone periosteum, which attaches the muscle to the bone.
9	14	Or, the connective tissues associated with a muscle form broad, fibrous sheets called aponeuroses , which may attach to bone, to skin, or to the connective tissue of adjacent muscles .	Or, the connective tissues associated with the muscle form broad, fibrous leaves called aponeuroses, which can attach to bone, skin, or connective tissue of adjacent muscles.
9	15	The layer of connective tissue that closely surrounds a skeletal muscle is called the epimysium, which in some areas of the body may merge with the surrounding deep fascia.	The layer of connective tissue that closely surrounds the skeletal muscle is called the epimisium, which in some parts of the body may connect to the surrounding deep fascia.
9	16	Another layer of connective tissue, called the perimysium, extends inward from the epimysium and separates the muscle tissue into small sections.	Another layer of connective tissue, called the perimisium, extends inward from the epimisium and divides the muscle tissue into small areas.
9	17	These sections contain bundles of skeletal muscle fibers called fascicles .	These sections contain bundles of skeletal muscle fibers called bundles.
9	18	Each muscle fiber within a fascicle lies within a layer of connective tissue in the form of a thin covering called endomysium .	Each muscle fiber inside the bundle lies in a layer of connective tissue in the form of a thin layer called endomysium.
9	19	This organization allows the parts to move somewhat independently.	This organization allows the parts to move slightly independently.
9	20	Many blood vessels and nerves pass through these layers.	Many blood vessels and nerves pass through these layers.
9	21	A compartment is the space that contains a particular group of muscles, blood vessels, and nerves, all tightly enclosed by fascia.	A compartment is a space that contains a group of muscles, blood vessels and nerves, all of which are tightly closed by the faceplate.
9	22	The limbs have many such compartments.	The limbs have many of these compartments.
9	23	If an injury causes fluid, such as blood from an internal hemorrhage, to accumulate in a compartment, the pressure inside will rise.	If, due to injury, fluid accumulates in the compartment, such as blood from internal bleeding, the pressure inside increases.
9	24	The increased pressure, in turn, may interfere with further blood flow into the region, reducing the supply of oxygen and nutrients to the affected tissues.	The increased pressure can, in turn, disrupt further blood flow to the area, which reduces the supply of oxygen and nutrients to the affected tissues.
9	25	This condition, called compartment syndrome, often produces severe, unrelenting pain.	This condition, called compartment syndrome, often causes severe, unrelenting pain.
9	26	Persistently elevated compartmental pressure may irreversibly damage the enclosed muscles and nerves.	Constantly high pressure in the compartment can permanently damage the closed muscles and nerves.
9	27	Treatment for compartment syndrome may require an immediate surgical incision through the fascia to relieve the pressure and restore circulation.	Treatment for compartment syndrome may require immediate surgical incision of the fascia to relieve pressure and restore blood circulation.
9	28	The fascia associated with each individual organ of the muscular system is part of a complex network of fasciae that extends throughout the body.	The fascia associated with each individual organ of the muscular system is part of a complex fascia network that spreads throughout the body.
9	29	The portion of the network that surrounds the muscles is called deep fascia.	The part of the network that surrounds the muscles is called the deep fascia.
9	30	It is continuous with the subcutaneous fascia that lies just beneath the skin, forming the subcutaneous layer described in section 6.1, Skin and Its Tissues.	It is continuous with the subcutaneous fascia, which lies just below the skin and forms the subcutaneous layer, described in Section 6.1, Skin and Its Tissues.
9	31	The network is also continuous with the subserous fascia that forms the connective tissue layer of the serous membranes covering organs in various body cavities and lining those cavities .	The network is also connected to the thoracic fascia, which forms a layer of connective tissue of the serous membranes that covers organs in various body cavities and lines these cavities.
9	32	Recall from section 5.5, Muscle Tissues that a skeletal muscle fiber is a single muscle cell .	Recall from Section 5.5 Muscle Tissue that skeletal muscle fibers are one muscle cell.
9	33	Each fiber forms from many undifferentiated cells that fuse during development.	Each fiber is made up of many undifferentiated cells that fuse during development.
9	34	The resulting multinucleated muscle fiber is a thin, elongated cylinder with rounded ends that attach to the connective tissues associated with a muscle.	The resulting multinucleated muscle fiber is a thin, elongated cylinder with rounded ends that binds to the connective tissue associated with the muscle.
9	35	Just beneath the muscle cell membrane , the cytoplasm of the fiber contains many small, oval nuclei and mitochondria.	Just below the muscle cell membrane, the cytoplasm of the fiber contains many small oval nuclei and mitochondria.
9	36	The sarcoplasm also has abundant long, parallel structures called myofibrils fig.	Sarcoplasma also has many long, parallel structures called myofibrils.
9	37	9.4a ).	9.4a).
9	38	The myofibrils play a fundamental role in the muscle contraction mechanism.	Myofibrils play a crucial role in the mechanism of muscle contraction.
9	39	They consist of two types of protein filaments: thick filaments composed of the protein myosin , and thin filaments composed primarily of the protein actin .	They are made up of two types of protein filaments: thick filaments made up of the protein myosin, and thin filaments made up mainly of the protein actin.
9	40	The organization of these filaments produces the alternating light and dark striations characteristic of skeletal muscle fibers.	The organization of these fibers creates the alternating light and dark stripes characteristic of skeletal muscle fibers.
9	41	The striations result from a repeating pattern of units called sarcomeres within each muscle fiber.	The columns are the result of a repeating structure of units called sarcomeres in each muscle fiber.
9	42	The myofibrils are essentially sarcomeres joined end to end .	Myofibrils are essentially sarcomeres linked to each other.
9	43	Muscle fibers, and in a way muscles themselves, may be thought of as collections of sarcomeres, discussed later in this chapter as the functional units of muscle contraction.	Muscle fibers and, in a sense, muscles can be viewed as a collection of sarcomas, which are considered later in this chapter as functional units of muscle contraction.
9	44	The striation pattern of skeletal muscle has two main parts.	The skeletal muscle diagram has two main parts.
9	45	The first, the I bands , are composed of thin actin filaments held by direct attachments to structures called Z lines, which appear in the center of the I bands.	The first, zone I, consists of thin actin filaments held by direct attachments to structures called Z-lines that appear in the center of zones I.
9	46	The second part of the striation pattern consists of the A bands , which are composed of thick myosin filaments overlapping thin actin filaments .	The second part of the stripe pattern consists of stripes A, which are composed of thick filaments of myosin overlapping thin filaments of actin.
9	47	The A band consists not only of a region where thick and thin filaments overlap, but also a slightly lighter central region consisting only of thick filaments.	Belt A consists not only of an area where dense and thin fibers overlap, but also of a slightly lighter middle area composed of only thick fibers.
9	48	The A band includes a thickening known as the M line, which consists of proteins that help hold the thick filaments in place .	The A band includes a thickening known as the M line, which is made up of proteins that help hold thick fibers in place.
9	49	The myosin filaments are also held in place by the Z lines and are attached to them by a large protein called titin .	Myosin fibers are also held in place by Z lines and attached to them by a large protein called titanium.
9	50	A sarcomere extends from one Z line to the next.	A sarcoma extends from one Z line to the other.
9	51	Thick filaments are composed of many molecules of myosin.	Dense fibers are made up of many myosin molecules.
9	52	Each myosin molecule consists of two twisted protein strands with globular parts called heads that project outward along their lengths.	Each myosin molecule is made up of two twisted protein chains with spherical pieces called heads that protrude along their length.
9	53	Thin filaments consist of double strands of actin twisted into a helix.	Fine fibers are composed of double actin fibers twisted into a spiral.
9	54	Actin molecules are globular, and each has a binding site to which the heads of a myosin molecule can attach .	Actin molecules are spherical, and each has a binding site to which myosin molecules can be attached.
9	55	Two other types of protein, troponin tropomyosin , associate with actin filaments.	Two other types of proteins, troponin tropomyosin, are associated with actin fibers.
9	56	Troponin molecules have three protein subunits and are attached to actin.	Troponin molecules have three protein subunits and are associated with actin.
9	57	Tropomyosin molecules are rod-shaped and occupy the longitudinal grooves of the actin helix.	Tropomyosin molecules are rod-shaped and occupy the longitudinal grooves of the actin helix.
9	58	Each tropomyosin is held in place by a troponin molecule, forming a troponin-tropomyosin complex .	Each tropomyosin is held in place by a troponin molecule and forms a troponin-tropomyosin complex.
9	59	Within the sarcoplasm of a muscle fiber is a network of membranous channels that surrounds each myofibril and runs parallel to it.	Inside the sarcoplasm of the muscle fiber, there is a network of membrane channels that surround each myofibril and run parallel to it.
9	60	These channels form the sarcoplasmic reticulum , which corresponds to the endoplasmic reticulum of other cells .	These canals form the sarcoplasmic reticulum, which corresponds to the endoplasmic reticulum of other cells.
9	61	A set of membranous channels, the transverse tubules , extends into the sarcoplasm as invaginations continuous with the sarcolemma and contains extracellular fluid.	Many membrane ducts, transverse tubules, extend into the sarcoplasm as a continuous invasion of the sarcolemma and contain extracellular fluid.
9	62	Each transverse tubule lies between two enlarged portions of the sarcoplasmic reticulum called cisternae .	Each transverse tube lies between two enlarged parts of the sarcoplasmic reticulum called cisternae.
9	63	These three structures form a triad near the region where the actin and myosin filaments overlap.	These three structures form a trinity near the area where the actin and myosin fibers overlap.
9	64	A muscle fiber contraction is a complex interaction of several cellular and chemical constituents.	Muscle fiber contraction is a complex interaction of several cellular and chemical components.
9	65	The result is a movement within the myofibrils in which the filaments of actin and myosin slide past one another, shortening the sarcomeres.	The result is movement within the myofibrils, in which actin and myosin fibers slide around each other, shortening the sarcomeres.
9	66	When this happens, the muscle fiber shortens and pulls on its attachments.	When this happens, the muscle fiber shortens and pulls on attachment.
9	67	Recall from section 5.6, Nervous Tissues, that neurons establish communication networks throughout the body based on their specialized structures and functions.	Recall from Section 5.6, Nerve Tissues, that neurons form communication networks throughout the body based on their specialized structures and functions.
9	68	Each neuron has a process called an axon, which extends from the cell body and can conduct electrical impulses called action potentials see section 10.6, Cell Membrane Potential.	Each neuron has a process called an axon that travels from the cell body and can conduct electrical impulses called action potentials, see Section 10.6, Cell Membrane Potential.
9	69	Each cell that a neuron controls is connected functionally to the end of an axon, in much the same way that you can talk into a cell phone although your mouth is not in direct physical contact with it.	Every cell that a neuron controls is operatively connected to the end of an axon, much like you can talk on a cell phone, even if your mouth doesn't have direct physical contact with it.
9	70	The site of this functional connection is called a synapse .	The site of this functional connection is called the synapse.
9	71	Neurons communicate with the cells that they control by releasing chemicals, called neurotransmitters , at a synapse.	Neurons bind to the cells they control, releasing chemicals called neurotransmitters at the synapse.
9	72	The neurotransmitter molecules then diffuse a very short distance to the cell being controlled, where they have a specific effect.	The neurotransmitter molecules are then scattered a very short distance to the controlled cell, where they have a specific effect.
9	73	Neurons that control effectors, including skeletal muscle fibers, are called motor neurons .	The neurons that control effectors, including skeletal muscle fibers, are called motor neurons.
9	74	Normally a skeletal muscle fiber contracts only upon stimulation by its motor neuron.	Usually, skeletal muscle fibers only contract after stimulation by a motor neuron.
9	75	The synapse where a motor neuron axon and a skeletal muscle fiber meet is called a neuromuscular junction .	The synapse where the motor neuron axon and skeletal muscle fiber meet is called the neuromuscular junction.
9	76	Here, the muscle fiber membrane is specialized to form a motor end plate , where nuclei and mitochondria are abundant and the sarcolemma is extensively folded .	The muscle fiber membrane here specializes in the creation of a motorized end plate, where nuclei and mitochondria are abundant and the sarcolemma is very complex.
9	77	A small gap called the synaptic cleft separates the membrane of the neuron and the membrane of the muscle fiber.	A small cleft called the synaptic cleft separates the neuron membrane and muscle fiber membrane.
9	78	The cytoplasm at the distal end of the axon is rich in mitochondria and contains many tiny vesicles that store neurotransmitter.	The cytoplasm at the distal end of the axon is rich in mitochondria and contains many small vesicles that store the neurotransmitter.
9	79	Acetylcholine is the neurotransmitter that motor neurons use to control skeletal muscle contraction.	Acetylcholine is a neurotransmitter that motor neurons use to control skeletal muscle contraction.
9	80	ACh is synthesized in the cytoplasm of the motor neuron and is stored in synaptic vesicles near the distal end of its axon.	ACh is synthesized in the cytoplasm of the motor neuron and accumulates in synaptic vesicles near the distal end of its axon.
9	81	When an action potential reaches the end of the axon, some of these vesicles release acetylcholine into the synaptic cleft .	When the action potential reaches the end of the axon, some of these vesicles release acetylcholine into the synaptic cleft.
9	82	Acetylcholine diffuses rapidly across the synaptic cleft and binds to specific protein molecules in the muscle fiber membrane, increasing the membrane permeability to sodium and potassium ions.	Acetylcholine rapidly diffuses through the synaptic cleft and binds to specific protein molecules in the membrane of muscle fibers, increasing the membrane's permeability to sodium and potassium ions.
9	83	Recall from section 3.3, Movements Into and Out of the Cell, Active Transport, that active transport of sodium and potassium ions across the cell membrane creates a condition in which the sodium ion concentration is higher outside the cell and the potassium ion concentration is higher inside the cell.	Let us recall from paragraph 3.3 "Movement inside and outside the cell, active transport" that the active transport of sodium and potassium ions through the cell membrane creates a state in which the concentration of sodium ions is higher outside the cell, and the concentration of potassium ions inside is higher.
9	84	Also remember that an ion will diffuse across a cell membrane only if two conditions are met: there is a concentration gradient and the membrane is permeable to that ion.	Also remember that an ion is scattered across the cell membrane only when two conditions are met: there is a concentration gradient and the membrane is permeable to this ion.
9	85	Membrane permeability is such that potassium ions pass through channels in resting cell membranes more readily than do sodium ions.	Membrane permeability is such that potassium ions pass through channels in quiescent cell membranes more easily than sodium ions.
9	86	The sodium/potassium pump maintains the concentration gradients for these two ions.	The sodium / potassium pump maintains concentration gradients for these two ions.
9	87	When a motor neuron stimulates a muscle cell, permeability to both sodium and potassium ions increases temporarily in a pattern that results in positively charged ions entering the muscle cell faster than other positively charged ions leave.	When a motor neuron stimulates a muscle cell, the permeability to both sodium and potassium ions temporarily increases in a pattern that causes positively charged ions to enter the muscle cell faster than other positively charged ions.
9	88	This net movement of positive charges into the muscle cell at the motor end plate opens nearby sodium channels on the sarcolemma.	This pure movement of positive charges into the muscle cell at the motor end plate opens up nearby sodium channels on the sarcolemma.
9	89	The result of this second set of channels opening is an impulse, an action potential.	The result of the opening of the second set of channels is an impulse, an action potential.
9	90	In much the same way that an impulse is conducted along the axon of a neuron, an impulse now spreads in all directions along the muscle fiber membrane and continues into the transverse tubules, deep into the fiber.	In the same way that the impulse is directed along the axon of the neuron, the impulse now propagates in all directions along the membrane of the muscle fibers and continues into the transverse tubules deeper into the fiber.
9	91	This electrical impulse is what triggers the release of calcium ions from the sarcoplasmic reticulum, leading to muscle contraction.	This electrical impulse triggers the release of calcium ions from the sarcoplasmic reticulum, which leads to muscle contraction.
9	92	Clinical Application 9.1 discusses myasthenia gravis, in which the immune system attacks certain neuromuscular junctions.	Clinical Application 9.1 concerns myasthenia gravis, in which the immune system attacks certain neuromuscular junctions.
9	93	The connection between stimulation of a muscle fiber and contraction is called excitation-contraction coupling, and it involves an increase in calcium ions in the cytosol.	The connection between stimulation and contraction of muscle fibers is called excitation-contraction binding and involves an increase in calcium ions in the cytosol.
9	94	At rest, the sarcoplasmic reticulum has a high concentration of calcium ions compared to the cytosol.	At rest, the sarcoplasmic reticulum has a high concentration of calcium ions in comparison with the cytosol.
9	95	This is due to active transport of calcium ions in the membrane of the sarcoplasmic reticulum.	This is due to the active transport of calcium ions in the membrane of the sarcoplasmic reticulum.
9	96	In response to stimulation, the membranes of the cisternae become more permeable to these ions, and the calcium ions diffuse out of the cisternae into the cytosol of the muscle fiber .	In response to stimulation, the cistern membranes become more permeable to these ions, and calcium ions diffuse from the cistern into the cytosol of the muscle fiber.
9	97	When a muscle fiber is at rest, the troponin-tropomyosin complexes block the binding sites on the actin molecules and thus prevent the formation of linkages with myosin heads .	When the muscle fiber is at rest, the troponin-tropomyosin complexes block binding sites on the actin molecules, thereby preventing the formation of bonds with the myosin heads.
9	98	As the concentration of calcium ions in the cytosol rises, however, the calcium ions bind to the troponin, changing its shape and altering the position of the tropomyosin.	However, with an increase in the concentration of calcium ions in the cytosol, calcium ions bind to troponin, change their shape and change the position of tropomyosin.
9	99	The movement of the tropomyosin molecules exposes the binding sites on the actin filaments, allowing linkages to form between myosin heads and actin, forming cross-bridges .	The movement of tropomyosin molecules reveals binding sites on actin filaments, which allows the formation of bonds between the myosin heads and actin and the formation of transverse bridges.
9	100	The sarcomere is considered the functional unit of skeletal muscles because contraction of an entire skeletal muscle can be described in terms of the shortening of the sarcomeres of its muscle fibers.	A sarcoma is considered a functional unit of skeletal muscle, since the contraction of the entire skeletal muscle can be described in terms of the shortening of its muscle fibers by sarcomas.
9	101	According to the sliding filament model , when sarcomeres shorten, the thick and thin filaments do not change length.	According to the sliding fiber model, when the sarcometers are shortened, the thick and thin fibers do not change in length.
9	102	Rather, they slide past one another, with the thin filaments moving toward the center of the sarcomere from both ends.	Rather, it slides around and fine fibers move towards the center of the sarcomere at both ends.
9	103	As this occurs, the H zones and the I bands narrow; the regions of overlap widen; and the Z lines move closer together, shortening the sarcomere .	When this happens, the H and I bands narrow; expanding areas expand; and the Z lines converge and shorten the sarcomere.
9	104	The force that shortens the sarcomeres comes from cross-bridges pulling on the thin filaments.	The force that shortens the sarcomeres comes from transverse bridges stretched by thin fibers.
9	105	A myosin head can attach to an actin binding site forming a cross-bridge, and bend slightly, pulling on the actin filament.	The myosin head can attach to the actin binding site and form a transverse bridge, bend slightly and stretch on the actin fiber.
9	106	Then the head can release, straighten, combine with another binding site further down the actin filament, and pull again .	The head can then be loosened, straightened, connected to another binding site further down the actin fiber, and pulled again.
9	107	Myosin heads contain the enzyme ATPase, which catalyzes the breakdown of ATP to ADP and phosphate.	Myosin heads contain the enzyme ATPase, which catalyzes the breakdown of ATP to ADP and phosphate.
9	108	This reaction transfers energy that provides the force for muscle contraction.	This response transfers energy, which provides strength for muscle contraction.
9	109	Breakdown of ATP puts the myosin head in a "cocked" position .	ATP breakdown puts the myosin head in an “extended” position.
9	110	When a muscle is stimulated to contract, a cocked myosin head attaches to actin , forming a cross-bridge that pulls the actin filament toward the center of the sarcomere .	When muscles are stimulated to contract, the stretched head of myosin fuses with actin to form a transverse bridge that pulls the actin fiber towards the center of the sarcomere.
9	111	This movement causes a greater overlap of the actin and myosin filaments, shortens the sarcomere and thus shortens the muscle .	This movement causes greater overlap of the actin and myosin filaments, shortens the sarcomere, and therefore shortens the muscles.
9	112	When another ATP binds, the myosin head first detaches from the actin binding site , then breaks down the ATP to return to the cocked position .	When another ATP binds, the myosin head first detaches from the actin binding site, then cleaves ATP and returns to its extended position.
9	113	This crossbridge cycle repeats as long as ATP is present and action potentials release ACh at that neuromuscular junction.	This crossover cycle is repeated as long as ATP is present and action potentials release ACh at this neuromuscular junction.
9	114	When nervous stimulation of the muscle fiber ceases , two events relax the muscle fiber.	When the nerve stimulation of the muscle fiber stops, the muscle fiber releases two events.
9	115	First, an enzyme called acetylcholinesterase rapidly decomposes acetylcholine remaining in the synaptic cleft.	First, an enzyme called acetylcholinesterase rapidly degrades the acetylcholine that remains in the synaptic cleft.
9	116	This enzyme, which is in the synaptic cleft and on the membrane of the motor end plate, prevents a single action potential from continuously stimulating a muscle fiber.	This enzyme, which is located in the synaptic cleft and on the membrane of the motor end plate, prevents continuous stimulation of the muscle fiber by one action potential.
9	117	Second, when ACh breaks down, the stimulus to the membranes of the muscle fiber ceases.	Second, when AC is destroyed, irritation of the membranes of muscle fibers stops.
9	118	The calcium pump quickly moves calcium ions back into the sarcoplasmic reticulum, decreasing the calcium ion concentration of the cytosol.	The calcium pump quickly moves calcium ions back to the sarcoplasmic reticulum, reducing the concentration of calcium ions in the cytosol.
9	119	The cross-bridge linkages break , and tropomyosin rolls back into its groove, preventing cross-bridge attachment .	The transverse bridges break and tropomyosin returns to its groove, preventing the transverse bridge from attaching.
9	120	Consequently, the muscle fiber relaxes.	As a result, muscle fiber is released.
9	121	Table 9.2 summarizes the major events leading to muscle contraction and relaxation.	Table 9.2 summarizes the main events leading to muscle contraction and relaxation.
9	122	It is important to remember that ATP is necessary for both muscle contraction and for muscle relaxation.	It is important to understand that ATP is required for both muscle contraction and muscle relaxation.
9	123	The trigger for contraction is the increase in cytosolic calcium in response to stimulation by ACh from a motor neuron.	The reduction is caused by an increase in cytosolic calcium levels in response to ACh stimulation from the motor neuron.
9	124	A few hours after death, the skeletal muscles partially contract, fixing the joints.	A few hours after death, skeletal muscles contract partially and fix the joints.
9	125	This condition, called rigor mortis, may continue for seventy-two hours or more.	This condition, called Rigor Mortis, can last seventy-two or more hours.
9	126	It results from an increase in membrane permeability to calcium ions, which promotes cross-bridge formation, and the absence of ATP in the muscle fibers, which prevents myosin release from actin.	This is due to an increase in membrane permeability for calcium ions, which contributes to the formation of bridges, and the absence of ATP in muscle fibers, which prevents the release of myosin from actin.
9	127	Thus, the actin and myosin filaments of the muscle fibers remain linked until the proteins begin to decompose.	Thus, the actin and myosin fibers of the muscle fibers remain connected until the proteins begin to break down.
9	128	The energy that powers the interaction between actin and myosin filaments as muscle fibers contract comes from ATP molecules.	The energy that drives the interaction between actin and myosin fibers during muscle fiber contraction comes from ATP molecules.
9	129	However, a muscle fiber has only enough ATP to contract briefly, and must regenerate ATP.	However, muscle fiber has enough ATP for short-term contraction and must restore ATP.
9	130	The initial source of energy available to regenerate ATP from ADP and phosphate is creatine phosphate .	The primary source of energy available for the regeneration of ATP from ADP and phosphate is creatine phosphate.
9	131	Like ATP, creatine phosphate includes a high-energy phosphate bond.	Like ATP, creatine phosphate contains a high-energy phosphate bond.
9	132	Whenever sufficient ATP is present, an enzyme in the mitochondria promotes the synthesis of creatine phosphate, which stores excess energy in its phosphate bond .	Whenever a sufficient amount of ATP is present, an enzyme in the mitochondria promotes the synthesis of creatine phosphate, which stores excess energy in its phosphate bond.
9	133	Creatine phosphate is four to six times more abundant in muscle fibers than ATP, but it cannot directly supply energy to a cell's energy-utilizing reactions.	Creatine phosphate is four to six times more in muscle fibers than ATP, but it cannot directly supply energy for the cell's energetic reactions.
9	134	Instead, as ATP is decomposed to ADP, the phosphate from creatine phosphate molecules is transferred to these ADP molecules, quickly converting them back into ATP.	Instead, since ATP is degraded to ADP, phosphate from creatine phosphate molecules is carried into these ADP molecules and quickly converted back to ATP.
9	135	The amount of ATP and creatine phosphate in a skeletal muscle, however, is usually not sufficient to support maximal muscle activity for more than about ten seconds during an intense contraction.	However, the amount of ATP and creatine phosphate in skeletal muscle is usually insufficient to maintain maximum muscle activity for more than 10 seconds during intense contraction.
9	136	As a result, the muscle fibers in an active muscle soon use cellular respiration of glucose to synthesize ATP.	As a result, muscle fibers in active muscle soon use glucose-cellular respiration to synthesize ATP.
9	137	Typically, a muscle stores glucose in the form of glycogen.	The bundle usually stores glucose in the form of glycogen.
9	138	Recall from section 4.4, Cellular Respiration, Glycolysis, that glycolysis, the early phase of cellular respiration, occurs in the cytosol and is anaerobic, not requiring oxygen.	Recall from Section 4.4, Cellular Respiration, Glycolysis that glycolysis, an early phase of cellular respiration, occurs in the cytosol and is anaerobic and does not contain oxygen.
9	139	This phase only partially breaks down energy-supplying glucose and yields only two ATP molecules for each molecule of glucose.	This phase only partially breaks down the energy supplying glucose and provides only two ATP molecules for each glucose molecule.
9	140	The complete breakdown of glucose occurs in the mitochondria and is aerobic, requiring oxygen.	The complete breakdown of glucose occurs in the mitochondria and is aerobic, requiring oxygen.
9	141	This process, which includes the complex series of reactions of the citric acid cycle and electron transport chain, produces many ATP molecules .	This process, which includes a complex series of citric acid cycles and electron transfer chain reactions, results in the formation of many ATP molecules.
9	142	Blood carries the oxygen necessary to support the aerobic reactions of cellular respiration from the lungs to body cells.	The blood carries the oxygen needed to support the aerobic responses of cellular respiration from the lungs to the cells of the body.
9	143	Oxygen is carried in red blood cells, where it is loosely bound to molecules of hemoglobin, the protein responsible for the red color of blood.	Oxygen is carried in red blood cells, where it is weakly bound to molecules of hemoglobin, a protein responsible for the red color of blood.
9	144	In regions of the body where the oxygen concentration is low, oxygen is released from hemoglobin and becomes available for the aerobic reactions of cellular respiration.	In areas of the body where oxygen concentration is low, oxygen is released from hemoglobin and is available for aerobic respiratory responses.
9	145	Another protein, myoglobin , is synthesized in muscle cells and imparts the reddish brown color of skeletal muscle tissue.	Another protein, myoglobin, is synthesized in muscle cells to give skeletal muscle tissue a reddish-brown color.
9	146	Like hemoglobin, myoglobin can loosely bind oxygen and, in fact, has a greater attraction for oxygen than does hemoglobin.	Like hemoglobin, myoglobin can bind oxygen freely and is, in fact, more attractive to oxygen than hemoglobin.
9	147	Myoglobin's ability to temporarily store oxygen increases the amount of oxygen available in the muscle cells to support aerobic respiration .	The ability of myoglobin to temporarily store oxygen increases the amount of oxygen available in muscle cells to support aerobic respiration.
9	148	Oxygen storage in myoglobin is important because blood flow may decrease when contracting muscle fibers compress blood vessels.	Storing oxygen in myoglobin is important because blood flow can be reduced as muscle fibers are compressed into blood vessels.
9	149	When a person is resting or moderately active, the respiratory and cardiovascular systems can usually supply sufficient oxygen to the skeletal muscles to support the aerobic reactions of cellular respiration.	When a person is resting or slightly active, the respiratory and cardiovascular systems can usually supply the skeletal muscle with sufficient oxygen to support aerobic respiratory responses.
9	150	However, when skeletal muscles are used more strenuously, these systems may not be able to supply enough oxygen to sustain the aerobic reactions of cellular respiration.	However, if skeletal muscle is used more intensively, these systems may not provide enough oxygen to support aerobic respiratory responses.
9	151	Under these conditions muscles may be limited to the anaerobic reactions to produce ATP.	Under these conditions, muscles can be limited by anaerobic responses to ATP.
9	152	This shift in metabolism is referred to as the anaerobic threshold, or the lactic acid threshold .	This change in metabolism is called the anaerobic threshold or lactic acid threshold.
9	153	In the anaerobic reactions, glycolysis breaks down glucose molecules to yield pyruvic acid, which would normally enter the citric acid cycle.	In anaerobic reactions, glycolysis breaks down glucose molecules to form pyruvic acid, which usually enters the citric acid cycle.
9	154	When the oxygen supply is low, however, the pyruvic acid reacts to produce lactic acid, which enters the bloodstream and eventually reaches the liver .	However, with low oxygen supply, pyruvic acid reacts to form lactic acid, which enters the bloodstream and eventually reaches the liver.
9	155	In liver cells, reactions requiring ATP synthesize glucose from lactic acid .	Reactions requiring ATP in liver cells synthesize glucose from lactic acid.
9	156	In the body, lactic acid dissociates rapidly to form lactate ion and hydrogen ion, both of which leave muscle cells by facilitated diffusion.	Lactic acid quickly dissociates in the body to form lactate ion and hydrogen ion, which leave muscle cells due to facilitated diffusion.
9	157	For simplicity we refer only to lactic acid in this discussion.	For simplicity, in this discussion we only refer to lactic acid.
9	158	During strenuous exercise, available oxygen is primarily used to synthesize ATP for muscle contraction rather than to make ATP in the liver for reacting lactic acid to yield glucose.	During intense exercise, the available oxygen is mainly used to synthesize ATP for muscle contraction, rather than for the production of ATP in the liver for the reaction of lactic acid to produce glucose.
9	159	Consequently, as lactic acid accumulates, a person develops an oxygen debt , or excess post-exercise oxygen consumption , that must be repaid.	As a result of the accumulation of lactic acid, a person develops oxygen debt or excessive oxygen consumption after physical activity, which must be repaid.
