Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 12,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[11].stims[0],"In a study on learning outcomes, a psychologist collects a sample of 16 students’ test scores from a population with a mean of 82 and a standard deviation of 6. The psychologist is using this sample to estimate the population mean. Which of the following best describes the distribution of the sample means for samples of this size?",Choice pool (runtime order randomized): The distribution will be approximately normal if the population distribution is normal. || The distribution will be skewed to the left. || The distribution will be skewed to the right. || The distribution will be perfectly normal regardless of the population distribution.,The distribution will be approximately normal if the population distribution is normal.,Correct,Yes,The distribution will be approximately normal if the population distribution is normal.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 13,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[12].stims[0],A clinical study is evaluating the effectiveness of a new drug on reducing depressive symptoms. The researchers expect the population standard deviation of depressive symptoms to be around 7 points on a standardized assessment. They plan to use a sample size of 49 individuals. What will be the standard deviation of the sampling distribution of the sample mean (standard error)?,Choice pool (runtime order randomized): 1 point || 7 points || Not enough information || 49 points,1 point,Problematic but salvageable,Yes,1 point,Yes,Formula dependency,Problematic because it requires formula recall,"The keyed answer is numerically correct, but solving it depends on recalling the standard-error formula.",,Give the formula directly or turn the prompt into a conceptual question about how sample size changes standard error.,Revise concept/substance
Item 14,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[13].stims[0],"In a psychological study examining the relationship between social media usage and attention span, the researchers would like to claim that their findings from a sample are reflective of the general population. Which of the following conditions would strengthen their claim?","Choice pool (runtime order randomized): The sample size is large, and the sampling distribution is approximately normal. || The sample size is small, but the population variance is known. || The sample is biased, but the population mean is known. || The sample variance is high, indicating a diverse sample.","The sample size is large, and the sampling distribution is approximately normal.",Incorrect,No,"A random, representative sample from the target population is what primarily strengthens a claim that sample findings reflect the population.",No,Conceptual error,No formula needed,"Large n and a roughly normal sampling distribution help inference precision, but they do not fix a biased or unrepresentative sample.",Replace the keyed option with one that explicitly says the sample is random/representative of the population.,Ask about generalizability/representativeness rather than the sampling distribution.,Revise concept/substance
Item 15,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[14].stims[0],"In a study on the effects of group therapy on coping skills, a psychologist finds that the sample means are less variable than individual scores. This phenomenon is best explained by which of the following?",Choice pool (runtime order randomized): Central limit theorem || Regression toward the mean || Hawthorne effect || Confirmation bias,Central limit theorem,Problematic but salvageable,Partly,The variability of sample means is smaller because the sampling distribution of x-bar has standard deviation sigma/sqrt(n); CLT only partly captures that story.,No,Misinterpretation,No formula needed,CLT is more about the shape of the sampling distribution than about why averaging reduces variability; the options miss the best explanation.,Add an option about the sampling distribution of the mean having smaller spread / standard error.,Ask directly about why sample means vary less than individual scores.,Revise concept/substance
Item 16,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[15].stims[0],"A psychologist is studying the effect of a new therapy on reducing anxiety levels. They conduct a trial where a success is defined as a noticeable reduction in anxiety symptoms. If the probability of a single patient showing improvement after the therapy is 0.7, what is the standard deviation of this proportion distribution?",Choice pool (runtime order randomized): 0.46 || 0.21 || 0.49 || 0.7,0.46,Problematic but salvageable,Partly,"For a single Bernoulli outcome, the standard deviation is sqrt(0.7*0.3) about 0.46; for a sample proportion, n would also be needed.",Partly,Multiple issues,Problematic because it requires formula recall,"The keyed number matches a single 0/1 outcome, but the stem says ""proportion distribution,"" which normally requires a sample size.",,Clarify whether the question is about one Bernoulli trial or about a sample proportion with a stated n.,Revise concept/substance
Item 17,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[16].stims[0],"A clinical trial is testing the effectiveness of a new drug. If the probability of the drug being effective is 0.8, and 100 trials are conducted, what is the standard deviation of the sample proportion of effective trials?",Choice pool (runtime order randomized): 0.04 || 0.4 || 0.08 || 0.1,0.04,Problematic but salvageable,Yes,0.04,Yes,Formula dependency,Problematic because it requires formula recall,"The keyed answer is correct, but the item is a straight plug-in of the sample-proportion standard-error formula.",,Provide the formula or convert the item to a conceptual question about how n affects the variability of p-hat.,Revise concept/substance
Item 18,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[17].stims[0],"In a memory recall experiment, participants are shown a list of words and then asked to recall them after a distraction task. The recall success rate is 0.65. If the experiment is conducted with 150 participants, which condition must be met to approximate the sampling distribution of the sample proportion with a normal distribution?",Choice pool (runtime order randomized): Both 150 * 0.65 and 150 * (1 - 0.65) must be greater than or equal to 10. || The total number of words recalled must be greater than 100. || The number of participants must be less than 30. || The number of participants recalling at least one word must be more than 10.,Both 150 * 0.65 and 150 * (1 - 0.65) must be greater than or equal to 10.,Correct,Yes,Both 150 * 0.65 and 150 * (1 - 0.65) must be greater than or equal to 10.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 19,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[18].stims[0],"When considering the standard deviation of the sample proportion in a large sample, which of the following best explains why the denominator includes the square root of the sample size (n)?",Choice pool (runtime order randomized): To reflect the decreased variability of the proportion as the sample size increases. || To increase the standard deviation proportionally with the sample size. || To account for the increased variability in larger samples. || To align the standard deviation with the expected value of the sample proportion.,To reflect the decreased variability of the proportion as the sample size increases.,Correct,Yes,To reflect the decreased variability of the proportion as the sample size increases.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 20,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[19].stims[0],"A study on the effects of sleep deprivation on mood disorders is being conducted. If a large sample is taken, and the proportion of the sample with a mood disorder after sleep deprivation is calculated, which theorem would justify the use of the normal distribution to model this proportion?",Choice pool (runtime order randomized): The Central Limit Theorem || The Theorem of Total Probability || The Poisson Theorem || The Law of Large Numbers,The Central Limit Theorem,Correct,Yes,The Central Limit Theorem,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 21,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[20].stims[0],"In a psychological study examining the effects of sleep on memory retention, a researcher collects a sample of 30 participants and measures the number of words they can recall from a list after 8 hours of sleep. The mean number of words recalled is 15 with a standard deviation of 4. What is the point estimate for the population mean number of words recalled after 8 hours of sleep?",Choice pool (runtime order randomized): 15 words || 8 hours || 4 words || 30 participants,15 words,Correct,Yes,15 words,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 22,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[21].stims[0],"A clinical psychologist wants to estimate the average number of therapy sessions needed for patients with moderate anxiety to show improvement. If the margin of error is set at 1 session, and the standard deviation is known to be 3 sessions, which sample size would provide a 95% confidence interval for the estimate?",Choice pool (runtime order randomized): 36 || 23 || 68 || 17,36,Ambiguous,Partly,"Using z* = 1.96 gives n = 34.57, so the minimum integer sample size is 35; 36 is the answer only under the rough z≈2 shortcut.",Partly,Multiple issues,Problematic because it requires formula recall,"The prompt asks for a 95% CI sample size but does not say to use the common z≈2 approximation, which is the only route to the keyed answer.","Include 35 as a choice, or remove 36 if the exact 1.96-based calculation is intended.","State whether to use z* = 1.96 exactly or the rough ""2 standard errors"" shortcut.",Revise concept/substance
Item 23,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[22].stims[0],"When considering the interval estimation for the mean number of depressive episodes in a given population, which of the following factors would not affect the width of the confidence interval?",Choice pool (runtime order randomized): The sample mean || The population standard deviation || The sample size || The confidence level,The sample mean,Correct,Yes,The sample mean,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 24,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[23].stims[0],"In a study on stress levels among college students, a 90% confidence interval for the mean stress score is calculated to be (45, 55). Which of the following interpretations is correct?","Choice pool (runtime order randomized): The sample mean stress score is 50, and the margin of error for estimating the population mean at the 90% confidence level is 5.;If we were to take many samples, 90% of them would have mean stress scores between 45 and 55. || 90% of the college students in the sample had stress scores between 45 and 55 || There is a 90% probability that the mean stress score for all college students is between 45 and 55","The sample mean stress score is 50, and the margin of error for estimating the population mean at the 90% confidence level is 5.;If we were to take many samples, 90% of them would have mean stress scores between 45 and 55.",Incorrect,No,"The interval is centered at the sample mean 50 with margin of error 5; repeated-sampling language should say that 90% of similarly constructed intervals would capture the population mean, not that 90% of sample means fall between 45 and 55.",Partly,Misinterpretation,No formula needed,The keyed response bundles one acceptable statement with one clearly false confidence-interval interpretation.,Split the keyed response into separate options and remove the false repeated-sampling statement.,Ask for the best interpretation of the interval as a confidence interval for the population mean.,Revise concept/substance
Item 25,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[24].stims[0],"A researcher is examining the effect of a new therapy on reducing symptoms of PTSD. They calculate a 99% confidence interval for the mean reduction in symptom score to be (5, 10). What can we say about the 95% confidence interval for the mean reduction in symptom score?",Choice pool (runtime order randomized): It will be narrower than the 99% confidence interval. || It will be the same as the 99% confidence interval || It will be wider than the 99% confidence interval || It cannot be determined without additional information,It will be narrower than the 99% confidence interval.,Correct,Yes,It will be narrower than the 99% confidence interval.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 26,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[25].stims[0],"In a study assessing the impact of group therapy on social anxiety, the 95% confidence interval for the average improvement score is found to be entirely positive (e.g., 2.5 to 5.7). What does this suggest about the effectiveness of the therapy?",Choice pool (runtime order randomized): The therapy effectively improves social anxiety. || The therapy has no effect on social anxiety || The therapy increases social anxiety || The mean remains the same,The therapy effectively improves social anxiety.,Correct,Yes,The therapy effectively improves social anxiety.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 27,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[26].stims[0],"A sample of 50 individuals is taken from a population of adults undergoing cognitive behavioral therapy (CBT) for insomnia. The sample mean is 6 hours of sleep, with a standard deviation of 1.5 hours. Which of the following would provide a more precise (narrower) 95% confidence interval for the population mean hours of sleep?",Choice pool (runtime order randomized): Increasing the sample size to 100 || Decreasing the confidence level to 90% || Increasing the sample standard deviation || Decreasing the sample size to 25,Increasing the sample size to 100,Correct,Yes,Increasing the sample size to 100,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 28,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[27].stims[0],"A psychologist uses a scale to measure the level of optimism among a group of participants. The scale has a known population standard deviation of 5. If the psychologist wants to estimate the population mean with a margin of error of ±2, what is the minimum sample size needed for a 95% confidence interval?",Choice pool (runtime order randomized): 25 || 12 || 96 || 61,25,Problematic but salvageable,Yes,25,Yes,Formula dependency,Problematic because it requires formula recall,"The keyed answer is correct, but the item is driven by memorizing the sample-size formula for a mean with known sigma.",,Provide the margin-of-error formula or rewrite the item conceptually.,Revise concept/substance
Item 29,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[28].stims[0],"In a survey of job satisfaction among remote workers, a 95% confidence interval for the proportion of satisfied employees is (0.65, 0.75). Which of the following statements is true?",Choice pool (runtime order randomized): We are 95% confident that between 65% and 75% of all remote workers are satisfied with their job. || 95% of the remote workers in the sample are satisfied with their job || The sample proportion of satisfied remote workers is 0.70 with a margin of error of 0.05 || Between 65% and 75% of the sample are satisfied with their job,We are 95% confident that between 65% and 75% of all remote workers are satisfied with their job.,Ambiguous,Yes,We are 95% confident that between 65% and 75% of all remote workers are satisfied with their job.,Yes,Ambiguity,No formula needed,"The keyed interpretation is fine, but the option stating p-hat = 0.70 with margin of error 0.05 is also true from the stated interval.",Replace the midpoint/margin-of-error option with a genuinely false distractor.,,Revise choices
Item 30,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[29].stims[0],"Given a study with 40 participants, where 80% of the participants experienced a significant improvement after an intervention, calculate the margin of error for the 95% confidence interval of the proportion of participants showing improvement. Use the approximation method for your calculation. What is the margin of error?",Choice pool (runtime order randomized): 0.124 || 0.10 || 0.15 || 0.20,0.124,Incorrect,No,"Using the usual approximation MOE ≈ 2*sqrt(0.8*0.2/40) gives about 0.126 (roughly 0.13), not 0.124.",No,Multiple issues,Problematic because it requires more computation than intended,"The keyed value comes from 1.96*SE, but the stem explicitly says to use the approximation method.",Replace 0.124 with 0.126 or 0.13.,"If the exact 1.96 method is intended, remove the phrase ""Use the approximation method.""",Revise concept/substance
Item 31,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[30].stims[0],A psychologist wants to test if a new therapy improves the well-being of clients more effectively than the standard therapy. The null hypothesis (H0) for this study would be:,Choice pool (runtime order randomized): The new therapy and the standard therapy have the same effect on well-being. || The standard therapy is less effective than no therapy at all. || The new therapy has a different effect on well-being compared to the standard therapy. || The new therapy improves well-being more than the standard therapy.,The new therapy and the standard therapy have the same effect on well-being.,Correct,Yes,The new therapy and the standard therapy have the same effect on well-being.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 32,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[31].stims[0],"If a research study results in a p-value of 0.03, which of the following actions is appropriate based on a significance level (α) of 0.05?",Choice pool (runtime order randomized): We reject the null hypothesis. || We accept the null hypothesis as true. || We consider the p-value statistically insignificant. || We fail to reject the null hypothesis.,We reject the null hypothesis.,Correct,Yes,We reject the null hypothesis.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 33,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[32].stims[0],"In a study examining the effects of sleep on memory recall, the alternative hypothesis (Ha) states that increased sleep improves memory recall. If a significance test yields a p-value of 0.08, which conclusion is most appropriate?",Choice pool (runtime order randomized): There is not enough evidence to conclude that increased sleep improves memory recall. || Increased sleep decreases memory recall. || There is conclusive evidence that increased sleep improves memory recall. || Increased sleep has no effect on memory recall.,There is not enough evidence to conclude that increased sleep improves memory recall.,Correct,Yes,There is not enough evidence to conclude that increased sleep improves memory recall.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 34,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[33].stims[0],"A clinical trial is conducted to compare the average recovery time for two different flu medications. If the sample mean recovery time for Medication A is statistically significantly lower than Medication B, what can be inferred?",Choice pool (runtime order randomized): Medication A is associated with faster recovery than Medication B. || The patients did not receive any medication. || Medication B is more effective than Medication A. || The recovery times for both medications are the same.,Medication A is associated with faster recovery than Medication B.,Correct,Yes,Medication A is associated with faster recovery than Medication B.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 35,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[34].stims[0],"A survey analyzes the relationship between stress levels and the number of hours spent on social media. If the researchers set α = .01 for their hypothesis test, which of the following p-values would lead them to reject the null hypothesis?",Choice pool (runtime order randomized): p-value = 0.005 || p-value = 0.02 || p-value = 0.15 || p-value = 0.10,p-value = 0.005,Correct,Yes,p-value = 0.005,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
